longitude,latitude,observed age,observed std,predicted age,method
250.60770437382416,323.5658754199996,24.6,1.7,22.887304398252343,AFT
250.43464642760816,323.3835439099997,36.6,2.9,21.378406416338617,AFT
250.05140881024812,323.6143193799997,38.6,2.8,21.387763148878605,AFT
249.23853141936604,324.0183153399997,34.5,2.4,24.62049677571619,AFT
369.61898226000244,733.9648825,100.2,15.9,94.64355069909118,AFT
369.62561113945355,733.9488826600002,90.9,4.3,94.26841219543195,AFT
376.93761871478034,655.0535605100001,84.6,5.1,70.52824046273905,AFT
196.87330045886716,414.11252549999983,84.3,7.7,74.62063899035377,ZFT
251.16234713679046,537.6538822963004,85.4,6.1,83.59568338131977,ZFT
288.9469600107784,536.2427852963001,81.9,6.0,77.51862861723276,ZFT
306.8287335486575,541.7723599999997,81.9,6.7,83.96436856214275,ZFT
175.50621235994998,348.7156483641997,66.4,8.8,68.78732051339519,ZFT
285.0432924482985,537.5872162962997,73.9,10.6,76.07267617495307,ZFT
175.65057167739423,347.7724477963002,69.9,7.4,69.99764870541497,ZFT
168.31461175098258,332.3911204999996,93.7,13.3,82.1940865437759,ZFT
194.06413160188967,318.0764492036997,60.0,6.1,59.6851560395485,ZFT
197.03828884916337,483.67108879629967,84.3,6.8,74.35425340559026,ZFT
409.10350498055277,625.3459686999997,120.0,8.0,112.94680807616251,ZFT
452.1081394600106,596.1595939000001,106.0,9.0,51.5442981969296,ZFT
158.1110516048541,107.37546956789973,40.3,3.0,45.531824002375544,ZFT
271.4403368573301,494.8407304320997,128.0,7.0,113.97170359454832,ZFT
126.9234023375099,107.12238543209972,62.0,6.0,48.7197898574033,ZFT
126.8890293879266,107.35695086419986,51.0,4.0,48.871704449492796,ZFT
126.28997313263508,111.60999500000001,43.0,3.0,46.1589969422124,ZFT
126.46920035599327,111.46184870369987,48.0,4.0,47.49127585285839,ZFT
126.37590108733875,110.1809970678997,47.0,4.0,47.78425926152879,ZFT
127.13454540580149,106.85078370369996,50.0,4.0,48.6064851480323,ZFT
126.63615089460748,108.5699020678999,45.0,3.0,48.70622615971441,ZFT
126.93567902225386,107.75818129630002,45.0,3.0,48.579217272491796,ZFT
287.90549234088905,581.3386310000003,130.0,11.0,118.90099347102304,ZFT
186.71343788608294,446.4510909999997,128.0,7.0,86.41611091855971,ZFT
501.39076470540675,621.3937859999997,18.0,1.3,18.91022890977325,AHe
451.5504297354847,634.0269929999998,50.4,4.5,49.3221782754586,AHe
471.21610544182926,606.2828260000002,15.1,1.1,17.771480423619074,AHe
478.87025158191716,614.3160790000001,26.8,1.9,25.83701144088363,AHe
473.1075457120125,619.3382510000001,18.4,1.1,21.67539422445668,AHe
451.435529158324,601.1495440000003,22.7,1.7,17.141029629707084,AHe
493.34772430416064,602.1495340000004,25.5,1.6,25.13002338460658,AHe
345.1719399977652,642.5069082000001,51.09,1.61,10.085251245422807,AHe
346.2387476641718,641.2535874000002,94.44,2.3,11.228498546683793,AHe
347.7766476969385,640.8824800000001,113.52,2.87,12.238283502337998,AHe
348.7312063379646,639.9636002999997,141.85,2.58,13.742832216845652,AHe
349.8722574542298,639.4336055999996,134.26,2.09,16.19181564288789,AHe
350.1718828054407,641.4091413999998,135.32,4.91,17.201479980816924,AHe
406.0692458929179,634.8225405999998,86.49,2.95,25.89622015516645,AHe
408.4335462306476,630.2070312,78.16,1.23,24.4393164800817,AHe
410.153519485683,621.5837841,48.63,0.73,41.84998214373117,AHe
407.27128270013685,619.6326924999996,86.91,1.36,51.952388135445055,AHe
405.3073666812839,619.7738022000002,92.74,1.84,48.643074117102174,AHe
403.5016599186739,620.0160219999998,131.1,2.06,42.821844838932556,AHe
501.39076470540675,621.3937859999997,70.3,5.7,75.02382668573291,ZHe
488.69867018212153,630.8270250000002,79.9,6.5,81.4383111372082,ZHe
478.87025158191716,614.3160790000001,79.4,6.5,79.54540536903843,ZHe
472.83355202801374,615.3938460000003,72.1,5.8,72.77680042375582,ZHe
451.435529158324,601.1495440000003,76.6,6.1,72.66628874195591,ZHe
345.1719399977652,642.5069082000001,33.42,0.58,29.02956095070948,ZHe
180.2973896574313,452.2951436700003,81.6,5.05,68.27138792667986,ZHe
180.2973896574313,452.2951436700003,61.06666667,3.766666667,68.27138792667986,ZHe
178.76885844095767,448.7705122500001,66.53333333,4.133333333,68.70877221733096,ZHe
181.2559256261296,447.2434164099998,88.56666667,5.5,68.24512760230618,ZHe
181.92349797943322,450.2359420399997,62.23333333,3.833333333,82.58856886216952,ZHe
181.92349797943322,450.2359420399997,118.7666667,7.366666667,82.58856886216952,ZHe
251.9025454933658,323.3137668299998,31.36666667,1.933333333,40.77983105913024,ZHe
250.60770437382416,323.5658754199996,24.4,1.5,28.94759951648719,ZHe
250.43464642760816,323.3835439099997,33.73333333,2.1,27.43344139410298,ZHe
250.05140881024812,323.6143193799997,32.66666667,2.066666667,27.393623753683038,ZHe
