sample,latitude,longitude,elevation,age,std,method,reference
NN-1,34.46638889,110.7888889,1280,40.3,3,ZFT,Wang et al. (2019)
LF06,37.95361111,112.0711111,1042,128,7,ZFT,Yu et al. (2013)
FT02,34.46411111,110.4360278,1685,62,6,ZFT,Yu et al. (2013)
FT03,34.46622222,110.4356389,1470,51,4,ZFT,Yu et al. (2013)
FT08,34.5045,110.4288611,632,43,3,ZFT,Yu et al. (2013)
FT07,34.50316667,110.4308889,686,48,4,ZFT,Yu et al. (2013)
FT06,34.49163889,110.4298333,886,47,4,ZFT,Yu et al. (2013)
FT01,34.46166667,110.4384167,1843,50,4,ZFT,Yu et al. (2013)
FT05,34.47713889,110.4327778,1087,45,3,ZFT,Yu et al. (2013)
FT04,34.46983333,110.4361667,1285,45,3,ZFT,Yu et al. (2013)
NW03,38.7321,112.2574,1610,130,11,ZFT,Zhao et al. (2016)
FY03,37.5181,111.1125,930,128,7,ZFT,Zhao et al. (2016)
FP-10,39.0926,114.6728,381,18,1.3,AHe,Chang et al. (2019)
FP-15,39.2063,114.1089,974,50.4,4.5,AHe,Chang et al. (2019)
FP-30,38.9566,114.3314,407,15.1,1.1,AHe,Chang et al. (2019)
FP-34,39.0289,114.418,787,26.8,1.9,AHe,Chang et al. (2019)
FP-42,39.0741,114.3528,1086,18.4,1.1,AHe,Chang et al. (2019)
FP-46,38.9104,114.1076,337,22.7,1.7,AHe,Chang et al. (2019)
FP-51,38.9194,114.5818,303,25.5,1.6,AHe,Chang et al. (2019)
HG-1215,39.28262,112.90532,1215,51.09,1.61,AHe,Christopher Clinkscales etal.(2020)
HG-1425,39.27134,112.91739,1425,94.44,2.3,AHe,Christopher Clinkscales etal.(2020)
HG-1645,39.268,112.93479,1645,113.52,2.87,AHe,Christopher Clinkscales etal.(2020)
HG-1846,39.25973,112.94559,1846,141.85,2.58,AHe,Christopher Clinkscales etal.(2020)
HG-2054,39.25496,112.9585,2054,134.26,2.09,AHe,Christopher Clinkscales etal.(2020)
HG-2264,39.27274,112.96189,2264,135.32,4.91,AHe,Christopher Clinkscales etal.(2020)
WT-1238,39.21346,113.59432,1238,86.49,2.95,AHe,Christopher Clinkscales etal.(2020)
WT-1403,39.17192,113.62107,1403,78.16,1.23,AHe,Christopher Clinkscales etal.(2020)
WT-1799,39.09431,113.64053,1799,48.63,0.73,AHe,Christopher Clinkscales etal.(2020)
WT-2203,39.07675,113.60792,2203,86.91,1.36,AHe,Christopher Clinkscales etal.(2020)
WT-2611,39.07802,113.5857,2611,92.74,1.84,AHe,Christopher Clinkscales etal.(2020)
WT-3062,39.0802,113.56527,3062,131.1,2.06,AHe,Christopher Clinkscales etal.(2020)
FP-10,39.0926,114.6728,381,70.3,5.7,ZHe,Chang et al. (2019)
FP-27,39.1775,114.5292,542,79.9,6.5,ZHe,Chang et al. (2019)
FP-34,39.0289,114.418,787,79.4,6.5,ZHe,Chang et al. (2019)
FP-43,39.0386,114.3497,766,72.1,5.8,ZHe,Chang et al. (2019)
FP-46,38.9104,114.1076,337,76.6,6.1,ZHe,Chang et al. (2019)
HG-1215,39.28262,112.90532,1215,33.42,0.58,ZHe,Christopher Clinkscales etal.(2020)
LS16–1-1,37.570697,111.039908,1127,81.6,5.05,ZHe,Zhang et al. (2021)
LS16–1-2 ,37.570697,111.039908,1127,61.06666667,3.766666667,ZHe,Zhang et al. (2021)
LS16–3,37.538975,111.022614,1338,66.53333333,4.133333333,ZHe,Zhang et al. (2021)
LS16–4,37.525231,111.050753,1208,88.56666667,5.5,ZHe,Zhang et al. (2021)
LS16–5-1,37.552164,111.058306,1082,62.23333333,3.833333333,ZHe,Zhang et al. (2021)
LS16–5-2,37.552164,111.058306,1082,118.7666667,7.366666667,ZHe,Zhang et al. (2021)
HS17–4 ,36.409853,111.850058,1564,31.36666667,1.933333333,ZHe,Zhang et al. (2021)
HS17–5 ,36.412122,111.835408,1474,24.4,1.5,ZHe,Zhang et al. (2021)
HS17–6,36.410481,111.83345,1385,33.73333333,2.1,ZHe,Zhang et al. (2021)
HS17–7,36.412558,111.829114,1282,32.66666667,2.066666667,ZHe,Zhang et al. (2021)
